rule_id,kind,key,value,note
R1,hit_state,제압,suppresses,피격 문장과 같은 줄·같은 객체의 제압 전이. 실측 51건(2026-08-07)
R2,hit_state,손상,damages,같은 규칙의 손상 전이. 실측 26건(2026-08-07)
R4,area_state,정상>피격 지역,firesUpon,간접사격 탄착을 받은 지역이 갖는 전이. 실측 21건
R5,exclude_unit_code,FP,,사격진지 — 지명에 붙은 객체라 부대가 아니다 (EN-FP-001·FR-FP-001…)
R5,exclude_unit_code,RT,,접근로 (EN-RT-001)
R5,exclude_unit_code,LN,,방어선 (FR-LN-001)
R5,exclude_unit_code,OBJ,,구역 표기 객체 (OBJ-009 = 중앙 킬존). 진영 접두가 없는 유일한 형태다
R6,threshold,suppressed_ratio,0.25,"부대가 '제압됐다'고 볼 구성원 비율. 설계 초안은 0.5였으나 실측 최댓값이 0.35라(EN 제1제대 보병 35/100, FR 방어 보병 16/60) 0.5로는 한 건도 안 나온다. 0.25는 두 부대를 모두 잡는다 — 근거는 측정이고, 올리면 R6가 0건이 된다"
R7,flag,skip_state_hold,true,"template=='stateHold'인 179건을 precedes 체인에서 뺀다. 상태 유지는 '다음에 일어난 일'이 아니라 같은 상태의 재서술이다. 판별자는 template이다 — state_from 공백(473건)으로 거르면 stateInit 294건까지 빠져 각 행위자가 출발점을 잃는다(2,368 → 2,074). 이 플래그는 R7 체인 구성에서만 소비한다. R6가 hold 처리를 원하게 되면 재활용하지 말고 별도 플래그를 받는다"
R10,threshold,unit_fold_window_s,5,"R10~R12가 공유하는 접기 창(초). moveTo 실측 간격은 보고 지터 1초와 국면 전환 127~276초 사이가 뚜렷이 갈리고 그 틈엔 관측값이 아예 없다(2026-08-18 리뷰 실측). 1초 입도(창=0)로 접으면 20명짜리 보병소대 8개를 포함해 52개 소대 중 16개가 '실제로 이동했는데 R10이 0건'이 된다 — 지터 한 틱에 과반이 안 걸려서다. 창을 1~120초 사이 어디에 둬도 결과가 같다(R10 65→119건, moved_but_zero 16→0); 300초로 올리면 서로 다른 국면이 합쳐져 106건으로 줄어든다(시간축이 죽는다). 5는 지터보다 5배 여유를 두면서 최소 국면 전환 간격(127초)의 1/25이라 어느 쪽에도 안 붙는다"
R10,threshold,unit_move_ratio,0.5,"부대가 '이동 중'이라고 볼 구성원 비율. 과반을 기본으로 둔다 — 내리면 한두 명의 이동이 부대 이동으로 읽히고, 올리면 소대가 나뉘어 움직이는 국면이 통째로 빠진다. 창(unit_fold_window_s)=5에서 0.5→119건, 0.51→50건 — 69건이 정확히 과반 경계에 몰려 있다. 경계가 예민하다는 것 자체가 실측 사실이라 남긴다"
R11,threshold,unit_occupy_ratio,0.5,"부대가 그 지명을 '점령/잔류'한다고 볼 구성원 비율. moveTo와 같은 기준을 쓴다 — 이동과 점령에 다른 임계를 주면 부대가 이동 중도 점령 중도 아닌 구간이 생긴다. 창=5에서 0.5→34건, 0.51→11건 — 23건이 과반 경계에 몰려 있다"
R12,threshold,unit_fire_ratio,0.34,"부대가 '사격 중'이라고 볼 구성원 비율. 창을 넣어도 접히지 않는다 — 이 데이터에서 (소대,대상) 98쌍 전부 사격 시각이 유일해(directFireAt 77·indirectFireAt 21) 창 폭과 무관하게 군집 크기가 항상 1이다. 0.25·0.34·0.5는 전부 21건으로 같다(로스터 2명인 소대까지 1/2=0.5로 통과); 0.51에서 3건으로 떨어진다(로스터 1명인 소대만 남음). 즉 R12는 지금 부대 사실을 접어내는 규칙이 아니라 R4의 firesUpon(사격자, 대상)을 사격자의 소속 소대로 다시 쓰는 규칙이다. 억지로 접히는 것처럼 값을 고르지 않는다 — 이 한계를 표에 그대로 남긴다"
